"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"一" "日" "SUN | DAY | JAPAN" "The sun with a line across its equator"  "日々：ひび" "日々、日にち：ひにち" "日に日に：ひにひに" "ある日：あるひ" "日ソ：にっソ" 
"二" "一" "ONE" "One finger"  "一日：いちにち、ついたち" "一々：いちいち" "一つ：ひとつ" "一つずつ：ひとつずつ"  
"三" "二" "TWO" "Two fingers"  "二日：ふつか" "二メートル：にメートル" "二ラウンド：にラウンド" "レモン二つ：レモンふたつ" "一つ二つ：ひとつふたつ" 
"四" "三" "THREE" "Three fingers, ""2 + 1"""  "三つだけ：みっつだけ" "三日：みっか" "三日まで：みっかまで" "二三日：にさんにち" "三グラム：さんぐらむ" 
"五" "十" "TEN" "Two crossed arms makes ten fingers" "Abundant, complete, cross, needle, plant" "二十：にじゅう、はたち" "十日：とおか" "二十日：はつか" "一から十まで：いちからじゅうまで"  
"六" "四" "FOUR" "Square with two right angles"  "四日：よっか" "十四：じゅうし、じゅうよん" "四十四：しじゅうし、よんじゅうよん" "十四日：じゅうよっか" "四ミリ：よんミリ" 
"七" "五" "FIVE" "A three which has 'gained two' strokes to become five"  "五日：いつか" "四、五日：し、ごにち" "五十五：ごじゅうご" "五つほど：いつつほど" "ダイヤの五：ダイヤのご" 
"八" "六" "SIX"   "六日：むいか" "六日ぶりに：むいかぶりに" "十六：じゅうろく" "六つ：むっつ" "六トン：ろくトン" 
"九" "七" "SEVEN" "Notice how the first stroke 'cuts' through the second. This meaning will be used later on" "cut" "七日：なのか、なぬか" "十七日：じゅうしちにち" "七十五：ななじゅうご" "七五三：しちごさん"  
"十" "八" "EIGHT" "A group of Eight naturally 'splits' into two groups of four, thus we have two separate parts" "split" "八日：ようか" "十八日：じゅうはちにち" "八ユーロ：はちユーロ" "一か八か：いちかばちか"  
"十一" "九" "NINE"   "九日：ここのか" "九十九：きゅうじゅうきゅう" "九九：くく" "九つ：ここのつ" "９日から：ここのかから" 
"十二" "丸" "ROUND" "10 is round; nine needs a stroke more"  "一丸となって：いちがんとなって" "日の丸：ひのまる" "丸い：まるい" "丸める：まるめる"  
"十三" "円" "CIRCLE | YEN" "A hand in a circular shape, enclosing two yen coins"  "円い：まるい" "円さ：まるさ" "円グラフ：えんグラフ" "一円：いちえん" "十四円：じゅうよえん" 
"十四" "〇" "ZERO, placeholder | CIRCLE MARK; ""blank""" "Looks like a zero lol"  "六五〇円：ろっぴゃくごじゅうえん" "に三〇の九四二二：にさんれいのきゅうよんにに" "二〇六のロッカー：にまるろくのロッカー" "〇をつける：まるをつける" "〇〇さん：まるまるさん" 
"十五" "人" "HUMAN BEING" "Body and two legs" "As top half of 介: roof" "ロシア人：ロシアじん" "一人：ひとり" "一人二人：ひとりふたり" "二十人：にじゅうにん" "人々：ひとびと" 
"十六" "百" "HUNDRED" "A 1 attached to two 'circles', written vertically"  "百日：ひゃくにち" "百人：ひゃくにん" "六百円：ろっぴゃくえん" "三百六十六日：さんびゃくろくじゅうろくにち"  
"十七" "千" "THOUSAND" "Capital T like Thousand, crossed in the centre like Theta"  "千人：せんにん" "一千：いっせん" "三千：さんぜん" "八千円：はっせんえん" "千々に： ちぢに" 
"十八" "万" "TEN THOUSAND, myriad, all"   "万人：ばんにん、ばんじん" "万一：まんいち" "一万：ーちまん" "百万：ひゃくまん" "三万円：さんまんえん" 
"十九" "口" "MOUTH"  "opening, entrance" "人口：じんこう" "一口：ひとくち" "口コミ：くちこみ" "口バク：くちバク" "口にする：くちにする" 
"二十" "田" "RICE FIELD" "Growing crops is seasonal; four seasons, four parts of a Rice field" "head" "田んぼ：たんぼ" "カス田：ガスでん" "三田：みた" "田口：たぐち"  
"二十一" "目" "EYE | ITEM; subdivision; order" "An Eye with a central pupil surrounded by the iris; also looks like a List of three items"  "一目：ひとめ、いちもく" "人目：ひとめ" "目つき：めつき" "五十人目：ごじゅうにんめ" "六日目：むいかめ" 
"二十二" "川" "RIVER" "Three streams in a river may flow separately"  "ボルガ川：ボルガがわ" "川べり：かわべり" "川口：かわぐち" "川田：かわだ、かわた"  
"二十三" "月" "MOON | MONTH" "The vertical lines suggest a crescent moon; the part you can see reflects the sun" "meat, flesh, body part" "一月：いちがつ、ひとつき、いちげつ" "三月八日：さんがつようか" "月日：がっぴ、つきひ"   
"二十四" "明" "BRIGHT, cheerful | CLEAR" "The sun shines on the moon, making it bright and clear"  "明月：めいげつ" "明るい：あかるい" "明らかな：あきらかな" "明日：あす、あした" "明くる日：あくるひ" 
"二十五" "曜" "DAY OF THE WEEK" "As the sun sets in the west each day of the week, the wings of the bird flap above it as it lands to roost"  "日曜（日）：にちよう（び）" "月曜（日）：げつよう（び）" "曜日：ようび" "七曜：しちよう"  
"二十六" "火" "FIRE" "Flames lick from left to right as the huge bonfire burns in the centre"  "火曜（日）：かよう（び）" "火口：かこう、ひぐち" "口火：くちび" "火田：かでん"  
"二十七" "水" "WATER" "A walking stick being dropped into water, causing a splash"  "火水：ひみず" "水口：みずぐち" "水田：すいでん" "水曜（日）：すいよう（び）" "月水：げっすい" 
"二十八" "木" "TREE | WOOD, timber" "Looking up at a tree, you first see the big branches giving it breadth, then the trunk. Smaller branches hang down on each side"  "木曜（日）：もくよう（び）" "一月七日（木）：いちがつなのか（もく）" "木目：きめ、もくめ" "一木：いちぼく"  
"二十九" "金" "METAL | GOLD | MONEY" "Below a roof, two gold bars are stacked, glittering, on the floor"  "口金：くちがね" "金メダル：きんメダル" "お金：おかね" "金曜（日）：きんよう（び）" "月水金：げっすいきん" 
"三十" "土" "SOIL, earth, land, ground" "A baby tree (without its extra branches) grows from the soil "  "土曜（日）：どよう（び）" "土日：どにち" "土木：どぼく" "土人：どじん" "土いじり：つちいじり" 
"三十一" "本" "BASIS, origin, root | BOOK | THIS" "A stroke at the base of the tree indicates its roots – its basis or origin. Trees are also the basis of books. More abstractly, the word 'this' refers to the speaker's environment or current basis."  "本土：ほんど" "日本：にほん、にっぽん" "あの人の本：あのひとのほん" "本人：ほんにん" "本日：ほんじつ" 
"三十二" "東" "EAST" "The sun rising in the east shines through a tree"  "東日本：ひがしにほん" "東口：ひがしぐち" "東アジア：ひがしアジア" "東チーモル：ひがしチーモル"  
